,Toko,Alamat,Telepon
24,Super Indo Taman Harapan Baru,"Plaza Taman Harapan Baru (THB) , Perum. THB Jln. THB raya No. 1 Kel. Pejuang Kec. Medan Satria Bekasi Barat",Tel 8888 0984 / 86 - 87
25,Super Indo Sport Mall Kelapa Gading,"Jl. Kelapa Nias Raya Blok HF-03, Kelapa Gading, Jakarta Utara",Tel 458 60 433 - 35
26,Super Indo Pulo Mas,"Jl. Kayu Putih Raya, (Bangunan Terpadu Pacuan Kuda), Jak-Tim",Tel 471 0929 / 471 0928
27,Super Indo Sunter,Jl. Danau Sunter Utara blok A2. Jakarta Utara,Tel 650 6455 / 56
28,Super Indo Pondok Bambu,"Gedung Tomang Tol, Jl. Inspeksi Saluran No. 1-3 Kalimalang, Ja-Tim",Tel 866 093 59 / 866 12686 
29,Super Indo Kincan,"Jl. Kincan Raya No. 22, Kel. Jatibening, Kec. Pondok Gede, Kotamadya Bekasi",Tel 869 01 942 / 869 02 126 / 779
30,Super Indo Cibinong,Gd ITC Cibinong Jl Mayor Oking No 6 Cibinong Bogor,Tel 879 20001 / 879 20002
31,Super Indo Depok Town Center,Jl. Raya Mochtar no 1. Depok,Tel 778 86938 / 778 86939
32,Super Indo Pasar Rebo,Jl. Raya Gedong No.57 Jakarta Timur,Tel 840 1935 / 840 3948
33,Super Indo Cibubur,Jl. Alternatif ( trans. Yogie ) km 2-3 Cibubur,Tel 845 968 31 / 845 968 34
34,Super Indo Gunung Putri,"Perum. Griya Bukit Jaya, Desa Tlajung udik. Kec. Gunung Putri, Cibinong 16962",Tel 8686 2520 -19
35,Super Indo Jembatan Merah ,Plaza Jembatan Merah JL.Veteran No. 31 Panaragan Bogor Tengah,Tel 0251 - 8316 313 / 8316 333
36,Super Indo Dago,"JL.Ir. H. Djuanda No.40-42, Dago, Bandung",Tel 022 - 420 4018 / 420 9270
37,Super Indo Metro,"Metro Building Jl. Soekarno Hatta No.628-630, Bandung","Tel 022 - 756 2078, 022 - 7514340"
38,Super Indo Jatinangor,Jl. Raya Jatinangor No. 150 Sumedang,Tel 022 - 879 20030
39,Super Indo Mall Piset Square,PISET Square Jl. Pelajar Pejuang No. 119 Bandung,Tel 022 - 730 8792 / 730 2341/7302383
40,Super Indo Antapani,"Jl. Terusan Jakarta No. 225 & 227 Kel. Antapani, Kec. Cicadas, Bandung",Tel 022 â€“ 721 5161 / 022 â€“ 721 5160
41,Super Indo Ujung Berung,"Jl.Raya Ujung Berung No.24, RT 006/RW 04, Pasanggrahan, Ujung Berung, Kota Bandung.",Tel 
42,Super Indo Kopo,"Jl. Kopo Sayati no 100A Kec. Margahayu, Desa Sayati, Bandung",Tel 022 - 542 4159 / 69
43,Super Indo Rajawali,"Jl. Rajawali Barat 65 / 75, Kel. Garuda. Kec. Andir, Bandung 40184",Tel 022 - 604 6201 - 02
44,Super Indo Cimahi,Jl. Raya Cibabat No. 24 Cimahi,Tel 022 - 665 2708 / 09
45,Super Indo Sukabumi,"Jl. Ahmad Yani 125-127, Sukabumi","Tel 0266 - 232 581 / 87(Deposit),232582 (BO)"
46,Super Indo Subang Jaya,"JL. RA. Kosasih RT.02/RW.07, Kel. Subang Jaya, Kec. Cikole Kota Sukabumi",Tel 0266 - 624 9779 / 80
47,Super Indo Muhamad Ramdan,"Jl. Mochamad Ramdan No. 115, Kel. Cigelereng, Kec. Regol, Wil. Karees, Bandung",Tel 022-520 25 82
48,Super Indo Kaliurang,JL. Kaliurang Km. 6.2 No. 51 Yogyakarta,Tel 0274 - 887 719 / 883 577 / 886 922
49,Super Indo Sultan Agung,Jl. Sultan Agung No. 10 Yogyakarta,Tel 0274 - 384 118/385589
50,Super Indo Seturan,"Depok Sports Center, Jl. Raya Seturan Kav.IV, Depok, Sleman, Jogjakarta",Tel 0274 - 433 2803
51,Super Indo Parangtritis,"Jl. Menuan No. 1-3 Kec. Margansan, Kel. Brontokusuman, Yogyakarta",Tel 0274 - 379 899 / 0274 - 379 599
52,Super Indo Jalan Solo,"JL. Urip Sumoharjo 38A, Kel. Klitren, Kec. Gondokusuman. DIY",Tel 0274 - 549 576 / 589 997-998
53,Super Indo Godean,"Jl. HOS. Cokroaminoto RT 001/RW 01, Kel. Tegalrejo, Kec. Tegalrejo, Yogyakarta",Tel 0274-588 307/588 327
54,Super Indo Delta Plaza,Surabaya Plaza JL. Pemuda No. 31-34 Surabaya,Tel 031 - 531 5020 / 531 5088
55,Super Indo Rungkut,"Jl. Rungkut Mapan Utara FA-01 Rungkut Tengah Gunung Anyar, Sby",Tel 031 - 871 5441 / 870 4772
56,Super Indo Jemursari,Jl. Jemur Sari no. 170 Surabaya,Tel 031 - 8411900/ 8411880
57,Super Indo Kenjeran,"Komp. Pertokoan Kenjeran Indah, Jl. Raya Kenjeran No. 564 - 572 Sby",Tel 031 - 389 5574 / 389 3174 
58,Super Indo Dharma Husada,Jl. Dharma Husada No. 191 Surabaya,Tel 031 - 593 57 77
59,Super Indo Cerewed,"Jl. Mekarsari RT 004/RW 08, Duren Jaya, Bekasi Timur",Tel 021-8824766/8824641
60,Super Indo Adi Sucipto,"Jl. Adi Sucipto No.98, Kel. Jajar, Kec. Laweyan, Surakarta (Solo)",Tel 0271-722402/723147
61,Super Indo RE.Martadinata,"Jl. RE Martadinata 1, Ciputat, Tangerang Selatan",Tel 021-7413374/7422279
62,Super Indo Royal Square,"Jl. Menganti No. 479, Kel. Babatan, Kec. Wiyung, Surabaya",Tel 031-7512345
63,Super Indo Jaka Sampurna,"Jl. Patriot RT 006 RW 03, Kel. Jaka Sampurna, Kec. Bekasi Barat, Kotamadya Bekasi",Tel 021-8854133/8854274
64,Super Indo Singosari,"Jl. Raya Singosari, RT 003/RW009, Kel. Pagentan, Kec. Singosari, Kab. Malang, Jawa Timur",Tel 0341-453881
65,Super Indo Limus Pratama,"Jl. Raya Narogong RT 001/RW 010, Limus Nunggal, Cileungsi, Kab. Bogor",Tel 021 824 811 66 / 824 811 65
66,Super Indo Wadung Asri,"Jl. Wadung Asri 76, Kel. Wadung Asri, Kec. Waru, Surabaya",Tel 031-8678648
67,Super Indo Mastrip,"Jl. Raya Mastrip No. 4, Kel. Kebraon, Kec. Karangpilang, Surabaya",Tel Â 031-7063145 / 65
68,Super Indo Pabuaran Cibinong,"Jl. Raya Jakarta Bogor Km. 42, RT 06/RW 09, Kel. Pabuaran, Kec. Cibinong, Bogor",Tel Â 021-87914223 / 87914077
69,Super Indo Cikaret,"Jl. Raya Cikaret, RT 07/RW 11, Kel. Pabuaran, Kec. Cibinong",Tel Â 021- 87913085 / 87914006
70,Super Indo Pahlawan,"Jl. Pahlawan, RT 05/RW 03, Kel. Potrobangsan, Kec. Magelang Utara, Magelang",Tel Â 0293-361487
71,Super Indo Pinang,"Jl. KH. Hasyim Ashari, Kel. Pinang, Kec. Pinang, Tangerang",Tel Â 021-7307877
72,Super Indo Perintis Kemerdekaan,"Jl. Ngeksigondo No. 7 RT 009 RW 02, Kel. Prenggan, Kec. Kotagede,Yogyakarta",Tel Â 0274-4436551
73,Super Indo Citraland Surabaya,"Jl. Telaga Utama D1 Kav 31-32, Bukit Golf, Citraland Kel. Jeruk, Kec. Lakarsantri, Surabaya",Tel Â 031-7441622 / 7419169
74,Super Indo Jati Bening,"Jl. Dr. Ratna, Jati Bening, Pondok Gede, Bekasi",Tel 021-36124826 / 021-36129707
75,Super Indo Jati Makmur,"Jl. Raya Kemangsari RT 004 RW 11, Kel. Jatimakmur, Kec. Pondok Gede, Bekasi","Tel 021- 84979640, 84979641"
76,Super Indo Semolowaru,"Jl. Nginden Semolo No. 98, Kel. Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa ","Tel 031-5930484, 5930485"
77,Super Indo TerasKota,"Jl. Pahlawan Seribu, CBD Lot VII B, Lengkong Gudang, Serpong, BSD City, Tangerang Selatan",Tel 021-29003118
78,Super Indo Pondok Ungu,"Jl. Komplek Candrabaga, Kel. Bahagia, Kec. Babelan, Kab. Bekasi",Tel 021-88983059 / 88983064
79,Super Indo Diponegoro Ungaran,"Jl. Diponegoro no. 206 A, Kel. Genuk, Kec. Ungaran Barat, Ungaran, Kab. Semarang",Tel 024-76917949
80,Super Indo Pamulang 2,"Jl. Raya Pamulang Permai II, Kel. Pondok Benda, Kec. Pamulang, Tangerang Selatan",Tel 021-74639179
81,Super Indo Ronggowarsito,"Jl. Ronggowarsito No.23 RT 001/RW 05 Kel. Timuran, Kec. Banjarsari Surakarta (Solo), Jawa Tengah",Tel 0271-732614
82,Super Indo Sukun Raya,"Jl. Sukun Raya No.6, Kel. Srondol Wetan Kec. Banyumanik, Semarang",Tel 024-7474468
83,Super Indo Gatot Soebroto Magelang,"Jl. Gatot Soebroto, Kel. Kemirirejo, Kec. Magelang Selatan, Magelang",Tel 0293-313652/369669
84,Super Indo Candi,"Jl. Sultan Agung no. 104, Kel. Wonotinggal, Kec. Candisari, Semarang",Tel 024-8502504 / 8415941
85,Super Indo Gajah Mungkur,"Jl. S. Parman No. 56, Kel. Gajah Mungkur, Kec. Gajah Mungkur, Semarang",Tel 024-8509448/47
86,Super Indo Langsep,"Jl. Raya Langsep No. 3, Kel. Bareng, Kec. Klojen, Malang",Tel 0341-588907/06
87,Super Indo VETERAN,"Jl. Veteran - Siliwangi Kec Kejaksan, Cirebon",Tel 0231-8300703 / 8300705
88,Super Indo KESAMBI,"Jl. Dr. Sutomo Kel. Kesambi, Kec Kesambi, Cirebon",Tel 0231-8300442 / 8300443
89,Super Indo Grage City Mall,"Grage City Mall, Komp. Pegambiran Residence Blok A.1, Cirebon",Tel 0231-8332666
90,Super Indo Satria Square,"Satria Square Jl. Raya Karang Satria, Tambun Bekasi",Tel 021-88354593
91,Super Indo Mangun Jaya,"Jl. Raya Mangun Jaya - Ruko De Green Square, Kel. Mangun Jaya, Kec. Tambun Selatan, Bekasi",Tel 021-88322069 / 88322071
92,Super Indo Sriwijaya,"Jl. Sriwijaya No.70 Wonodri, Semarang Selatan",Tel 024-86449110 / 16
93,Super Indo Duren Tiga,"Jl. Raya Pasar Minggu, Duren Tiga, Jakarta Selatan",Tel 021-79170488
94,Super Indo Ujung Aspal,"Jl. Raya Hankam, Jati Ranggon, Jati Sampurna, Bekasi",Tel 021-84310139 / 84310140
95,Super Indo Citra Raya,"Jl. Taman Raya blok K.01, Kav. 01A Cikupa, Tangerang, Banten",Tel 021-29663620 / 21
96,Super Indo Sudirman Salatiga,"Jl. Jendral Sudirman, Salatiga, Jawa Tengah",Tel 0298-314250 / 312827
97,Super Indo Istana Majapahit,"Jl. Majapahit No.294, Semarang Jawa Tengah",Tel 024-6711200
98,Super Indo Satelit Utara,"Jl. Raya Satelit Utara KN 9, Kel. Tanjungsari Kec. Sukomanunggal, Surabaya - Jawa Timur",Tel 031-7326986
99,Super Indo Ngesrep,"Jl. Ngesrep Timur V, No.102, Banyumanik, Semarang, Jawa Tengah",Tel 024 - 7475299 / 7465464
100,Super Indo Bhayangkara,"Jl. Bhayangkara 33-35 Kel. Sentanan, Kec. Magersari Kotamadya Mojokerto, Jawa Timur",Tel 0321 - 399233
101,Super Indo Sulfat,"Jl. Sulfat RT.08 RW.05, Kel. Purwantoro, Kec. Blimbing Malang, Jawa Timur",Tel 0341 - 490810
102,Super Indo Gran Dadap City,"Jl. Perancis, Kel. Dadap, Kec, Kosambi. Tangerang - Banten",Tel 021 - 52390072 / 73
103,Super Indo Wahid Hasyim Jombang,"Jl. Wahid Hasyim no.3, Jombang, Jawa Timur",Tel 0321 - 865955 / 866228
104,Super Indo Pondok Kelapa,"Jl. Pondok Kelapa Raya, Kel. Pondok Kelapa, Kec. Duren Sawit, Jakarta Timur",Tel 021 - 86907628 / 631
105,Super Indo Arief Rahman Hakim,"Jl. Arief Rahman Hakim 169-171, Sukolilo, Surabaya, Jawa Timur",Tel 031 - 5950045
106,Super Indo Grand Taruma,"Jl. Tarumanegara, kel. Sukamakmur, kec. Teluk Jambe, Karawang - Jawabarat",Tel 
107,Super Indo Siliwangi Semarang,"Jl. Siliwangi No.322, Kel. Salaman Mloyo, kec. Semarang Barat, Semarang, Jawa tengah",Tel 
108,Super Indo Tajur,"Jl. Raya Tajurno.158 kec. Bogor Selatan, Bogor",Tel 
109,Super Indo Hasyim Azhari,"Jl. KH. Hasyim Azhari , kel. Norogtog kec. Pinang, Tangerang, Banten",Tel 
110,Super Indo Pahlawan Bogor,"Jl. Pahlawan no.78, kel. Empang kec. Bogor Selatan, Bogor",Tel 
111,Super Indo Dunia Bahari,"Jl. Kapten Sudibyo no.84, kel.Pekauman, Kec. Tegal Barat. Tegal - Jawa Tengah",Tel 
112,Super Indo Mall Kartini Lampung,"Jl. Kartini no.49, Kel. Palapa Kec. Tanjung Karang Pusat, Bandar Lampung",Tel 
113,Super Indo Kedung Mundu,"Jl. Kedungmundu Raya, Tembalang, Semarang, Jawa Tengah",Tel 
114,Super Indo MERR,"Jl. Ir. Soekarno no.351, MERR, Kedung Baruk, Rungkut, Surabaya, Jawa Timur",Tel 
115,Super Indo Gumpang,"Jl. Slamet Riyadi, kec. Kartosuro, Sukoharjo - Jawa Tengah",Tel 
116,Super Indo Kota Harapan Indah,"Harapan Indah kav.33-35, kec. Medan Satria, Bekasi, Jawa Barat",Tel 
117,Super Indo Ngaliyan,"Jl. Prof. Dr. Hamka, kel.Ngaliayan kec.Ngaliyan, Semarang",Tel 
118,Super Indo Tropodo,"Jl. Tropodo no.57, Desa Tropodo, kec.Waru, kab.Sidoarjo",Tel 
119,Super Indo Basura City,"Jl. Basuki Rahmat no. 1 A, kec. Cipinang, Jakarta Timur",Tel 
120,Super Indo Metropolitan Mall Cileungsi,"Jl. Perum Metland, kel.Cileungsi kidul, kec. Cileungsi, kab. Bogor - Jawa Barat",Tel 
121,Super Indo Harapan Kita,"Jl. Raya Roro Jonggrang No.1, kel.Bencongan, kec. Kelapa Dua, tangerang - Banten",Tel 
122,Super Indo Kranggan Semarang,"Jl. K.H. Wahid Hasyim no.137 kel.Bangunharjo, Semarang",Tel 
123,Super Indo Dongkelan,"Jl. Raya Bantul no.97, kel. Gedongkiwo, kec. Mantrijeron, Yogyakarta",Tel 
124,Super Indo Citra Garden,"Perum Citra 2 blok J1 no.1-2, kel. Pegadungan, kec. Kalideres, Jakarta Barat",Tel 
125,Super Indo Cipondoh,"Jl. Hasyim Ashari kel. Poris Plawad Utara ke. Cipondoh, Tangerang - Banten",Tel 
126,Super Indo Puri Surya Jaya,"Jl. Taman Gerbang Utama kav.1, desa Punggul, kab. Sidoarjo, Jawa Timur",Tel 
127,Super Indo Poris Cipondoh,"Jl. Maulana Hasanudin, kel. Cipondoh Indah, kec. Cipondoh, Tangerang - Banten",Tel 
128,Super Indo Plaza Metropolitan,"Jl. Sultan Hasanudin, kel. Tambun kec. Tambun Selatan, Bekasi - Jawa Barat",Tel 
129,Super Indo Manukan,"Jl. Manukan Tama No.123-125, Kel. Manukan Kulon, Kec. Tandes, Kota Surabaya, Jawa Timur",Tel 
130,Super Indo Majapahit,"Jl. Brigjen. Sudiarto (Jl. Majapahit no.510), Kel. Pedurungan Lor, Kec. Pedurungan, Semarang",Tel 
131,Super Indo Soekarno - Hatta,"Jl. Soekarno Hatta, Tlogosari Kulon, Pedurungan, Semarang",Tel 
132,Super Indo Wibawa Mukti,"Jl. Wibawa Mukti, kel. Jatiluhur, Kec. Jatiasih Bekasi",Tel 
133,Super Indo Imam Bonjol,"Jl. Imam Bonjol No.120, Desa Karang Tengah, kec. Semarang Tengah, Semarang",Tel 
134,Super Indo Karang Tengah,"Jl. Raden Saleh, Kel Karang Tengah, Kec. Karang Tengah, Kota Tangerang, Banten",Tel 
135,Super Indo Titanium Square,Jl. Raya Bogor Km.26.7 Kel. Pekayon Kec. Pasar Rebo,Tel 
136,Super Indo Kertajaya,"Jl. Kertajaya Indah timur S - 104, Kel. Manyar Sabrangan, Kec. Mulyorejo, Surabaya - Jawa timur",Tel 
137,Super Indo Ujung Berung Town Square,"Jl. Raya A.H. Nasution No. 46-A, Kel. Pakemitan Kec. Cinambo, Bandung, Jawa Barat",Tel 
138,Super Indo Click Square,"Jl. Naripan No.89, Kel. Kebon Pisang, Kec. Sumur Bandung, Bandung, Jawa Barat",Tel 
139,Super Indo Tlogo Mas,"Jl. Raya Tlogomas no.5A, RT.001/RW.005, Kel. Tlogomas, kec.Lowokwaru, Malang, Jawa Timur",Tel 
140,Super Indo Colomadu,"Jl. Adi Sucipto, Desa Paulan, Kec. Colomadu, Kab. Karanganyar, Jawa Tengah",Tel 
141,Super Indo Pajajaran,"Jl. Raya Pajajaran, Kel. Baranangsiang, Kec. Bogor Timur, Bogor, Jawa Barat",Tel 
142,Super Indo Gas Alam,"Jl. Putri Tunggal No.110 Kec. Harjamukti, Kec. Cimanggis - Depok",Tel 
143,Super Indo Prima Harapan Regency,"Jl. Prima Harapan Regency, Kel. Perwira, Kec. Bekasi Utara, Kota Bekasi, Jawa Barat",Tel 
144,Super Indo Bukit Sarua,"Jl. Raya Bukit Sarua, Kel. Sarua, Kec. Ciputat, Tangerang, Banten",Tel 
145,Super Indo Sukun,"Jl. Kebonsari No.45, Kel. Kebonsari / Kepuh, Kec. Sukun, Malang - Jawa Timur",Tel 
146,Super Indo Express Rempoa,"Jl. Pahlawan Raya No. 9, Kel. Rempoa, Kec. Ciputat Timur, Tangerang Selatan",Tel 
147,Super Indo Wahidin,"Jl. Dr. Wahidin No.105, Kel. Kaliwiru, Kec. Candisari, Semarang - Jawa Tengah",Tel 
148,Super Indo Simongan,"Jl. Simongan No.96, Kel. Ngemplak, Kec. Semarang Barat, Semarang - Jawa Tengah",Tel 
149,Super Indo Express Beji,"Jl. KH. M. Usman no.87 Kec. Beji, Depok - Jawa Barat",Tel 
150,Super Indo Pekalongan,"Jl. Dr. Wahidin no.102, Pekalongan Timur, Pekalongan",Tel 
151,Super Indo Bendungan Sutami,"Jl. Bendungan Sutami No.4, Kel. Sumbersari, Kec. Lowokwaru, Malang - Jawa Timur",Tel 
152,Super Indo Jenggolo,"Jl. Jenggolo, Kel. Pucang, Kec. Sidoarjo, Kab. Sidoarjo, Jawa Timur",Tel 
153,Super Indo Sleman City Hall,"Jl. Magelang KM.9.6, dengung, Tridadi, Kab. Sleman D.I. Yogyakarta",Tel 
154,Super Indo Citra Harmoni,"Jl. Bringin Kulon Desa Bringinbenda, Kec. Taman - Sidoarjo",Tel 
155,Super Indo HR Muhamad,"Jl. Mayjen HR. Muhamad No.111, Kec. Dukuh Pakis - Surabaya",Tel 
156,Super Indo Grand Cimanggis Mall,"Cimanggis Mall, Jl. Raya Bogor, Kel. Tugu, Kec. Cimanggis, Kota Depok, Jawa Barat",Tel 
157,Super Indo Apartement Gunawan Tidar,"Jl. Tidar No.350, Kel. Tembok Dukuh, Kec. Bubutan, Surabaya",Tel 
158,Super Indo Reni Jaya,Jl. Dr. Setiabudi Rt.03 / Rw.05 Kel. Pamulang Barat - Tangerang Selatan,Tel 
159,Super Indo Kamaja,"Jl. Kyai Maja, Kel. Gunung, Kec. Kebayoran Baru, Kota Jakarta Selatan, DKI Jakarta",Tel 
160,Super Indo Karangrejo,"Jl. Raya Karangrejo, Kel. Banyumanik, Semarang - Jawa Tengah",Tel 
161,Super Indo Bojong Kulur,"Villa Nusa Indah, Jl. Raya Bojong Kulur, Kel. Bojong Kulur, Kec. Gunung Putri, Kab. Bogor",Tel 
162,Super Indo Padurenan,"Jl. H. Djole RT.001/006, Kel. Padurenan - Bekasi",Tel 
163,Super Indo Silktown,"Jl. Boulevard Silktown, Kel. Pondok Jagung Timur - Tangerang Selatan",Tel 
164,Super Indo Pamulang Barat,"Jl. Pajajaran No.57, Kel. Pamulang Barat - Tangerang Selatan",Tel 
165,Super Indo Kemiling,"Jl. Teuku Cik Di Tiro, Kemiling",Tel 
166,Super Indo Express Tanah Merdeka,"Jl. Tanah Merdeka RT.003 RW.004, Kel. Rambutan - Jakarta Timur",Tel 
167,Super Indo Sonosewu,"Jl. PGRI II (Jl. Sonosewu), Desa Ngestiharjo - Yogyakarta",Tel 
168,Super Indo Express M. Kahfi,"Jl. Moh. Kahfi 1, Kel. Jagakarsa - Jakarta Selatan",Tel 
169,Super Indo Metro Lampung,"Jl. A. Yani 15A, Kel. Iring Mulyo - Lampung",Tel 
170,Super Indo Bez Plaza,"Jl. Gading Serpong Boulevard, Kel. Curug Sangereng - Tangerang",Tel 
171,Super Indo Kutabumi,Jl. Raya Kutabumi RT.001/RW.006 Kel. Kutabaru,Tel 
172,Super Indo Pondok Betung,"Jl. Raya Pondok Betung, kel. Pondok Betung, Tangerang",Tel 
173,Super Indo Basilica Palembang,"Jl.Brigjen Hasan Kasim, Kel.Bukit Sangkal, Kec. Kalidoni, Palembang Sumatera Selatan",Tel 
174,Super Indo Sun City,"Jl. Pahlawan, Kel Sidokumpul, Kec Sidoarjo, Kab Sidoarjo, Jawa Timur",Tel 
175,Super Indo Puri Depok Mas,"Perumahan Puri Depok Mas Jl. Raya Sawangan, Kel. Pancoran Mas - Depok",Tel 
176,Super Indo Cinere Raya,Cinere Raya RT.004/RW 008 Kel. Cinere - Depok,Tel 
177,Super Indo Sawojajar,"Jl. Raya Sawojajar, Kel. Sawojajar Kec. Kedungkandang, Malang, Jawa timur",Tel 
178,Super Indo Gaplek,"Jl. RE Martadinata No.18, Kel. Pd. Cabe Udik, Kec. Pamulang, Kab. Tangerang, Banten",Tel 
179,Super Indo Agil Kudus,"Jl. Agil Kusumadya, Desa Getas Pejaten, Kec. Jati, Kab. Kudus, Jawa Tengah",Tel 
180,Super Indo Banyuanyar,"Jl. Adi Sumarmo, Kel Banyuanyar, Kec. Banjarsari, Surakarta, Jawa Tengah",Tel 
181,Super Indo Cikeas,"Jl. Letda Nasir, Kel. Cikeas, Kec. Gunung Putri, Bogor, Jawa Barat",Tel 
182,Super Indo Solo Baru,"Jl. Ir. Soekarno RT 5/RW 4, Kel. Madegondo, Kec. Grogol, Kab. Sukoharjo, Jawa Tengah",Tel 
183,Super Indo Margorejo,"Jl. Raya Margorejo Indah, Kel. Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur",Tel 
184,Super Indo Wolter Monginsidi,"Jl. Wolter Monginsidi, Kel Tlogomulyo, Kec Pedurungan, Semarang, Jawa Tengah.",Tel 
185,Super Indo Pagar Alam,"Jl. Zaenal Abidin Pagar Alam, Kel. Labuhan Ratu, Kec. Kedaton, Kota Bandar Lampung",Tel 
186,Super Indo Galuh Mas,"Jl. Galuh Mas Raya, Kel. Sukaharja, Kec. Teluk jambe Timur, Kab. Karawang, Jawa Barat",Tel 
187,Super Indo Menur,"Jl. Menur no. 34, Kel. Airlangga, Kec. Gubeng, Surabaya, Jawa Timur",Tel 
188,Super Indo Teluk Jambe,"Jl. Raya Teluk Jambe, Kel. Teluk Jambe, Kec. Teluk Jambe Timur, Kab. Karawang, Jawa Barat",Tel 
189,Super Indo Mediterania,"Jl. Tanjung Duren Raya Kav. 5 – 9, Kel. Tanjung Duren Selatan, Kec. Grogol Petamburan, Jakarta Barat, DKI Jakarta",Tel 
190,Super Indo Villa Melati Mas,"Jl. Villa Melati Mas Raya, Kel. Lengkong Karya, Kec. Serpong Utara, Kota Tangerang Selatan, Banten",Tel 
191,Super Indo Fortune Graha Raya,"Jl. Akses Graha Raya, Kel. Paku Jaya, Kec. Serpong Utara, Kota Tangerang Selatan, Banten",Tel 
192,Super Indo Bubulak Bogor,"Jl. Raya Cibadak Ciampea, Kel. Sindang Barang, Kec. Bogor Barat, Bogor, Jawa Barat",Tel 
193,Super Indo Ciater Raya,"JL. Ciater Raya, Kel. Ciater, Kec. Serpong, Kota Tangerang Selatan, Banten",Tel 
194,Super Indo Bintara,"Jl. Bintara Raya, Kel. Bintara, Kec. Bekasi Barat, Kota Bekasi, Jawa Barat",Tel 
195,Super Indo Slipi Jaya,"Jl. Letjen S. Parman, Kel. Kemanggisan, Kec. Palmerah, Jakarta Barat, DKI Jakarta",Tel 
196,Super Indo Greenland ,"Jl. Raya Laban, Desa Laban, Kec. Menganti, Kab. Gresik, Jawa Timur",Tel 
197,Super Indo Sindangbarang,"Jl. Raya Sindang Barang, Kel. Loji, Kec. Bogor Barat, Bogor, Jawa Barat",Tel 
198,Super Indo XT Square,"Jl. Veteran RT 19/RW 05, Kel. Pandeyan, Kec. Umbulharjo, Yogyakarta, D. I. Yogyakarta",Tel 
199,Super Indo Tlogosari,"Jl. Raya Tlogosari II no. 2 - 3, Kel. Tlogosari Kulon, Kec. Pedurungan, Semarang, Jawa Tengah",Tel 
